az_E,,az_H,,el_E,,el_H,
r,θ,r,θ,r,θ,r,θ
-0.004467062844868597,232.2211913969218,-0.005572251681876525,256.25153487501234,-0.0014962604710347196,232.07189683333783,-0.004467062844868597,232.2211913969218
0.04242694498831333,240.27849102086492,0.09245382488031201,278.6297168393156,0.06924417374490692,246.2206596584009,0.08527706549750401,250.4214416486889
0.08734871506888278,252.12545037114072,0.2576151988739488,302.57410181250066,0.10953983532526096,260.005190029822,0.13753157484576506,275.56388328873925
0.1272517270132834,269.87806478874995,0.37493721976407063,313.84548841113684,0.15558826762501385,279.4652260747479,0.2784216041282959,295.440361553179
0.22955246217006578,286.4517660033731,0.5161391536950282,325.1580304182974,0.28223156133389954,295.19843712174304,0.382414522789905,306.8760735980726
0.3571763975005124,295.07735375912955,0.6355079549863348,332.85162313968493,0.3693840710579462,303.41261436323884,0.49426422692573874,317.1969307759354
0.4776604581608132,302.1185172710734,0.7492970074296771,340.07262413079627,0.4971715826700104,313.72410889702587,0.5739139654068226,324.40986293653805
0.6062666881721139,312.39854140093445,0.8608937100275008,345.6856800324084,0.5759211695514522,320.61208853782523,0.6831967130910411,334.1292808281341
0.7172659780009252,321.94744281826786,0.9423994394629811,351.40412187407986,0.6653474584416502,328.3706393899642,0.7476993781522638,339.7542050672221
0.7955413850640307,330.4937832397146,0.9886461943972902,356.3916624091992,0.737317817081795,335.73680141070565,0.8774835492659737,349.370322284709
0.8283138930413358,337.8780154382626,0.9978933663866068,359.87517429364027,0.7557651523123429,342.71826115852946,0.9526124890986435,354.65918046316705
0.8294995555369244,344.8678035083499,0.9783949431609757,7.700466710032958,0.8118680081622467,347.6790695261093,0.9978720236291811,359.77034362406687
0.8470971285823058,351.87449443033296,0.9072038179337006,13.847886392165297,0.8982243545401549,352.9249592945395,0.9373525031370928,5.897830031273627
0.9369839527144267,357.2540580939626,0.8257332351047555,19.88145407623126,0.9989425574809556,359.82223241318843,0.8559177216287548,12.137791080565538
0.9978933663866068,359.87517429364027,0.7303527404622743,25.963584877046593,0.956345123970743,7.099464968907242,0.7538323360953916,19.025036473237634
0.9998920232382607,5.2222904090336595,0.6096554369535826,33.19854065423199,0.8216688016517344,17.348784785455805,0.681559836412998,23.77960306233282
0.9949579576243135,8.855341504387027,0.5242582446237954,38.155130621573015,0.7392629795404104,22.701672205080712,0.5531952030082038,32.558813176568314
0.958287885272836,14.401311065422687,0.3989187517881984,44.3228527985044,0.6433532965001484,28.953566381333125,0.41547320800879395,45.06567129495011
0.8765499473676293,22.22180252937968,0.23791758059074022,50.6101175938451,0.5471538272800548,36.030277251825936,0.33232469516747215,52.72096018147826
0.7923557241655175,27.37860668922552,0.17473138514320818,59.119902371857975,0.4146107030776752,49.25144169244864,0.2350391103403552,60.62345454290275
0.6809485254669878,33.93674234243376,0.1188092107382018,70.46811844448347,0.33441188158458146,59.06030837436269,0.12417909723396373,71.28248534856593
0.5534942005722807,43.224194734410034,0.053449229991013855,85.56387760462371,0.23690203267467314,69.79765115035211,0.048981288475346205,86.64358946442918
0.4353549372962345,56.65779025615561,-0.0033518023953066807,100.4805956740711,0.1426891040006787,78.99495291611157,-0.005637294713290447,100.24969251867847
0.3302972837699796,67.3299671347562,,,0.061612992901657594,91.15530409992532,,
0.23204236566128586,75.35979871255216,,,-0.005042081015352525,104.60364509042657,,
0.1559146617902804,84.45068783034239,,,,,,
0.06926369131737298,106.09690488100127,,,,,,
0.01703134754589571,122.84167178778188,,,,,,
-0.006823680903288794,128.9509387303118,,,,,,
